"row ID","sub","http://purl.org/dc/terms/created+First(obj)","http://purl.org/dc/terms/creator+First(obj)","http://purl.org/dc/terms/title+First(obj)","http://www.openannotation.org/ns/hasBody+First(obj)","http://www.openannotation.org/ns/hasTarget+First(obj)","http://www.w3.org/1999/02/22-rdf-syntax-ns#type+First(obj)"
"Row82","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#84","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.237","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.237","http://www.openannotation.org/ns/Annotation"
"Row83","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#85","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.256","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.256","http://www.openannotation.org/ns/Annotation"
"Row84","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#86","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.343","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.343","http://www.openannotation.org/ns/Annotation"
"Row85","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#87","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.345","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.345","http://www.openannotation.org/ns/Annotation"
"Row86","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#88","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.345","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.345","http://www.openannotation.org/ns/Annotation"
"Row87","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#89","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.1","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.1","http://www.openannotation.org/ns/Annotation"
"Row88","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#9","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.148","http://pleiades.stoa.org/places/614824#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.148","http://www.openannotation.org/ns/Annotation"
"Row89","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#90","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.194","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.194","http://www.openannotation.org/ns/Annotation"
"Row90","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#91","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.194","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.194","http://www.openannotation.org/ns/Annotation"
"Row91","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#92","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.198","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.198","http://www.openannotation.org/ns/Annotation"
"Row92","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#93","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.83","http://pleiades.stoa.org/places/682522#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.83","http://www.openannotation.org/ns/Annotation"
"Row93","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#94","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.179","http://pleiades.stoa.org/places/687928#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.179","http://www.openannotation.org/ns/Annotation"
"Row94","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#95","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.179","http://pleiades.stoa.org/places/687928#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.179","http://www.openannotation.org/ns/Annotation"
